Resort name,Elevation,Ski lifts,Slopes,Ticket Price,Test Rating
Mammoth Mountain,2424,25,89,259,4.4
Palisades Tahoe,1890,43,200,290,4.3
Heavenly,1907,27,94,265,4.1
Mt. Bachelor,1737,15,98,224,3.7
Northstar California Resort,1929,19,97,270,3.7
June Mountain,2288,7,41,199,3.6
Mt. Hood Meadows,1378,12,90,164,3.6
Homewood Mountain Resort,1899,6,20,159,3.5
Sierra at Tahoe,2024,14,46,175,3.5
Sugar Bowl,2098,13,70,244,3.5
Bear Valley,2011,8,67,169,3.4
49 Degrees North Mountain Resort,1196,7,68,84,3.4
Alyeska Resort – Girdwood,82,7,62,169,3.4
Kirkwood,2377,13,65,187,3.3
Crystal Mountain (WA),1341,11,50,199,3.3
Timberline,1478,9,31,149,3.3
Stevens Pass,1170,10,39,119,3.3
Mt. Hood Skibowl,1120,9,65,89,3.2
Wenatchee – Mission Ridge,1392,4,36,119,3.2
White Pass,1371,6,30,75,3.2
Donner Ski Ranch,2142,6,52,99,3.1
China Peak,2147,10,50,169,3.1
Dodge Ridge,2011,9,50,109,3.1
Bear Mountain – Big Bear Lake,2176,7,27,169,3.1
Snow Valley,2050,9,34,169,3.0
Snow Summit – Big Bear Lake,2130,11,29,169,3.0
Willamette Pass – Crescent,1560,5,29,66,3.0
The Summit at Snoqualmie,800,22,27,140,3.0
Mt. Spokane,1185,7,26,80,3.0
Mt. Shasta Ski Park,1670,6,23,99,2.9
<NA>,,,,,
Mountain High East,2010,4,11,149,2.9
Mt. Baldy,1977,4,20,115,2.9
Mt. Baker,1070,10,25,94,2.9
Arctic Valley,762,4,25,55,2.9
Mountain High West,2110,5,15,149,2.8
Alpental,962,4,9,140,2.8
Hoodoo Ski Area,1430,5,17,85,2.8
Skiland – Mt. Aurora,425,1,17,55,2.8
Eaglecrest – Juneau,350,4,17,75,2.8
Mt. Ashland,1932,5,13,79,2.8
Tahoe Donner,2057,2,14,110,2.7
Loup Loup Ski Bowl,1240,3,11,70,2.7
Bluewood,1385,5,11,65,2.7
Warner Canyon – Lakeview,1737,1,9,40,2.7
Cooper Spur,1219,1,10,49,2.7
Soda Springs,2060,2,10,70,2.7
Spout Springs,1500,2,9,35,2.7
Mt. Waterman,2120,3,10,70,2.7
Anthony Lakes Mountain Resort,2164,2,10,50,2.7
